#AltAGL, AltB, AltGPS, AltMSL, AltMSL Lag Diff, amp1, amp2, AOASimple, BaroA, CAS, COM1, COM2, Coordination Index, CRS, DensityRatio, E1 CHT Divergence, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 EGT Divergence, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 FFlow, E1 OilP, E1 OilT, E1 RPM, FQtyL, FQtyR, GndSpd, HAL, HCDI, HDG, HPLfd, HPLwas, IAS, LatAc, LOC-I Index, MagVar, NormAc, OAT, Pitch, Roll, Stall Index, TAS, Total Fuel, TRK, True Airspeed(ft/min), VAL, VCDI, volt1, volt2, VPLwas, VSpd, VSpd Calculated, VSpdG, WndDr, WndSpd, number_events = 0
AltAGL, AltB, AltGPS, AltMSL, AltMSL Lag Diff, amp1, amp2, AOASimple, BaroA, CAS, COM1, COM2, Coordination Index, CRS, DensityRatio, E1 CHT Divergence, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 EGT Divergence, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 FFlow, E1 OilP, E1 OilT, E1 RPM, FQtyL, FQtyR, GndSpd, HAL, HCDI, HDG, HPLfd, HPLwas, IAS, LatAc, LOC-I Index, MagVar, NormAc, OAT, Pitch, Roll, Stall Index, TAS, Total Fuel, TRK, True Airspeed(ft/min), VAL, VCDI, volt1, volt2, VPLwas, VSpd, VSpd Calculated, VSpdG, WndDr, WndSpd
0.0, 845.3, 751.2, 839.0, 6.5, 5.6, 0.4, 2.2, 30.29, 20.667, 132.3, 123.3, 3.4184930394991473, 176.9, 1.0309812493854424, 21.879999999999995, 178.4, 156.52, 171.3, 178.11, 38.77999999999997, 1104.25, 1084.16, 1105.7, 1122.94, 2.22, 62.66, 132.69, 1222.3, 21.49, 24.0, 0.0, 3704.0, NaN, 180.0, 88.5, NaN, 0.0, -0.01, 0.005013789791265416, 3.2, -0.0, 9.8, 2.2, 0.35, 0.14666666666666667, 0.0, 45.489999999999995, 266.8, 2061.192582363556, NaN, NaN, 28.1, 28.1, NaN, 0.3, 0.0, 0.0, NaN, NaN
0.0, 845.3, 751.5, 839.3, 2.7999999999999545, 5.4, 0.4, 2.21, 30.29, 20.667, 132.3, 123.3, 5.057930892274955, 176.9, 1.0309812493854424, 22.03, 179.07, 157.04, 171.84, 178.68, 42.549999999999955, 1108.35, 1085.91, 1110.54, 1128.46, 2.25, 62.68, 132.65, 1222.2, 21.49, 24.0, 0.0, 3704.0, NaN, 180.0, 88.5, NaN, 0.0, -0.02, 0.0074520181812851, 3.2, -0.0, 9.8, 2.21, 0.36, 0.14733333333333334, 0.0, 45.489999999999995, 266.8, 2061.192582363556, NaN, NaN, 28.0, 28.0, NaN, 3.23, 0.0, 0.0, NaN, NaN
0.0, 845.3, 751.7, 839.5, 3.2999999999999545, 5.5, 0.4, 2.23, 30.29, 20.667, 132.3, 123.3, 3.5589893472780214, 176.9, 1.0309812493854424, 22.120000000000005, 179.68, 157.56, 172.4, 179.26, 45.01999999999998, 1112.51, 1087.49, 1115.88, 1132.51, 2.26, 62.72, 132.61, 1221.9, 21.49, 24.0, 0.0, 3704.0, NaN, 180.1, 88.5, NaN, 0.0, -0.0, 0.005291030829619991, 3.2, 0.04, 9.8, 2.23, 0.36, 0.14866666666666667, 0.0, 45.489999999999995, 266.8, 2061.192582363556, NaN, NaN, 28.0, 28.1, NaN, 9.87, 0.0, 0.0, NaN, NaN
0.0, 845.3, 751.9, 839.7, 3.7000000000000455, 5.5, 0.4, 2.21, 30.29, 20.667, 132.3, 123.3, 2.997003234519856, 176.9, 1.0309812493854424, 22.379999999999995, 180.43, 158.05, 172.93, 179.85, 46.27999999999997, 1115.54, 1089.48, 1121.83, 1135.76, 2.23, 62.5, 132.57, 1222.2, 21.42, 24.0, 0.0, 3704.0, NaN, 180.0, 88.5, NaN, 0.0, -0.01, 0.0044155847655259215, 3.2, 0.02, 9.8, 2.21, 0.32, 0.14733333333333334, 0.0, 45.42, 266.8, 2061.192582363556, NaN, NaN, 28.0, 28.1, NaN, 0.67, 0.0, 3.9, NaN, NaN
0.0, 845.3, 751.9, 839.7, 3.5, 5.5, 0.4, 3.001324554143922, 30.29, 20.667, 132.3, 123.3, 3.1374999788402955, 176.9, 1.0309812493854424, 22.450000000000017, 181.05, 158.6, 173.48, 180.49, 47.0, 1118.9, 1092.06, 1125.77, 1139.06, 2.2, 63.08, 132.52, 1223.2, 21.42, 24.0, 0.0, 3704.0, NaN, 180.1, 88.5, NaN, 0.0, -0.01, 0.006277770483412944, 3.2, -0.04, 9.8, 2.18, 0.33, 0.20008830360959481, 0.0, 45.42, 266.8, 2061.192582363556, NaN, NaN, 28.0, 28.0, NaN, -4.74, -30.0, 0.0, NaN, NaN
1.0, 844.3, 753.1, 840.9, 5.0, 5.3, 0.4, 3.061324554143922, 30.29, 20.667, 132.3, 123.3, 5.057930892274955, 176.9, 1.0302526407286332, 22.609999999999985, 181.72, 159.11, 174.03, 181.09, 47.87000000000012, 1122.79, 1094.82, 1128.93, 1142.69, 2.15, 61.93, 132.48, 1174.3, 21.42, 24.0, 0.0, 3704.0, NaN, 180.1, 88.5, NaN, 0.0, 0.0, 0.010322645355789594, 3.2, -0.0, 10.0, 2.24, 0.36, 0.20408830360959476, 0.0, 45.42, 266.8, 2061.921305236726, NaN, NaN, 28.0, 28.0, NaN, -3.88, -30.0, 0.0, NaN, NaN
2.0, 844.3, 753.8, 841.6, 2.300000000000068, 5.3, 0.4, 2.29, 30.29, 20.667, 132.3, 123.3, 3.13697003661232, 176.9, 1.0302526407286332, 22.75999999999999, 182.42, 159.66, 174.58, 181.69, 43.58999999999992, 1117.89, 1092.45, 1120.74, 1136.04, 2.0, 60.21, 132.44, 1053.8, 21.42, 24.0, 0.0, 3704.0, NaN, 180.0, 88.5, NaN, 0.0, -0.01, 0.004789107589228142, 3.2, 0.01, 10.0, 2.29, 0.33, 0.15266666666666667, 0.0, 45.42, 266.8, 2061.921305236726, NaN, NaN, 28.0, 28.0, NaN, -15.73, 0.0, 0.0, NaN, NaN
2.0, 844.3, 754.0, 841.8, 2.3999999999999773, 5.4, 0.4, 2.27, 30.29, 20.667, 132.3, 123.3, 3.2774666396986745, 176.9, 1.0302526407286332, 22.930000000000007, 183.19, 160.26, 175.25, 182.37, 40.399999999999864, 1100.92, 1083.17, 1103.03, 1123.57, 2.01, 60.15, 132.39, 1026.6, 21.42, 24.0, 0.0, 3704.0, NaN, 180.1, 88.0, NaN, 0.0, 0.0, 0.004959899514743994, 3.2, -0.03, 10.0, 2.27, 0.34, 0.15133333333333335, 0.0, 45.42, 266.8, 2061.921305236726, NaN, NaN, 28.0, 28.0, NaN, -18.48, 0.0, 0.0, NaN, NaN
3.0, 844.3, 754.2, 842.0, 2.2999999999999545, 5.4, 0.4, 2.26, 30.29, 20.667, 132.3, 123.3, 4.776938126923583, 176.9, 1.0302526407286332, 23.150000000000006, 183.99, 160.84, 175.87, 183.06, 34.66000000000008, 1086.91, 1078.05, 1084.47, 1112.71, 2.01, 60.57, 132.33, 1040.5, 21.49, 24.0, 0.0, 3704.0, NaN, 180.1, 88.0, NaN, 0.0, -0.0, 0.007197253444564864, 3.2, -0.0, 10.0, 2.26, 0.34, 0.15066666666666664, 0.0, 45.489999999999995, 266.8, 2061.921305236726, NaN, NaN, 28.0, 28.0, NaN, -14.55, 0.0, 0.0, NaN, NaN
3.0, 844.3, 754.4, 842.2, 3.2000000000000455, 5.4, 0.4, 2.23, 30.29, 20.667, 132.3, 123.3, 4.636441523837229, 176.9, 1.0302526407286332, 23.29000000000002, 184.68, 161.39, 176.42, 183.62, 33.600000000000136, 1077.08, 1074.93, 1072.32, 1105.92, 2.01, 60.76, 132.28, 1056.3, 21.49, 24.0, 0.0, 3704.0, NaN, 180.1, 88.0, NaN, 0.0, -0.01, 0.0068928430654380144, 3.2, -0.03, 10.0, 2.23, 0.33, 0.14866666666666667, 0.0, 45.489999999999995, 266.8, 2061.921305236726, NaN, NaN, 28.0, 28.0, NaN, 5.09, 0.0, 0.0, NaN, NaN
3.0, 844.3, 754.6, 842.4, 3.3999999999999773, 5.4, 0.4, 2.26, 30.29, 20.667, 132.3, 123.3, 5.057930892274955, 176.9, 1.0302526407286332, 23.380000000000024, 185.3, 161.92, 177.02, 184.27, 36.88999999999987, 1069.94, 1072.41, 1064.17, 1101.06, 2.01, 60.89, 132.21, 1063.3, 21.49, 24.0, 0.0, 3704.0, NaN, 180.1, 88.0, NaN, 0.0, 0.0, 0.007620615877694264, 3.2, 0.0, 10.0, 2.26, 0.36, 0.15066666666666664, 0.0, 45.489999999999995, 266.8, 2061.921305236726, NaN, NaN, 28.0, 28.0, NaN, 5.81, 0.0, 0.0, NaN, NaN
2.0, 844.3, 754.0, 841.8, 2.5, 5.4, 0.4, 2.25, 30.29, 20.667, 132.3, 123.3, 4.776938126923583, 176.9, 1.0302526407286332, 23.50999999999999, 185.98, 162.47, 177.58, 184.88, 39.460000000000036, 1065.44, 1069.94, 1056.77, 1096.23, 2.02, 60.99, 132.14, 1070.4, 21.49, 24.0, 0.0, 3704.0, NaN, 180.1, 88.0, NaN, 0.0, -0.0, 0.0071654071903853745, 3.2, -0.01, 10.0, 2.25, 0.34, 0.15, 0.0, 45.489999999999995, 266.8, 2061.921305236726, NaN, NaN, 28.0, 28.0, NaN, 0.26, 0.0, 0.0, NaN, NaN
2.0, 844.3, 753.7, 841.5, 2.0, 5.3, 0.4, 2.27, 30.29, 20.667, 132.3, 123.3, 4.917434584496081, 176.9, 1.0302526407286332, 23.75, 186.75, 163.0, 178.15, 185.52, 43.04000000000019, 1061.17, 1067.29, 1049.34, 1092.38, 2.02, 60.89, 132.07, 1067.3, 21.49, 24.0, 0.0, 3704.0, NaN, 180.1, 88.0, NaN, 0.0, -0.0, 0.00744171767120407, 3.2, -0.01, 10.0, 2.27, 0.35, 0.15133333333333335, 0.0, 45.489999999999995, 266.8, 2061.921305236726, NaN, NaN, 28.0, 28.0, NaN, 7.49, 0.0, 0.0, NaN, NaN
2.0, 844.3, 753.6, 841.4, 1.6999999999999318, 5.3, 0.3, 2.24, 30.29, 20.667, 132.3, 123.3, 5.057930892274955, 176.9, 1.0302526407286332, 23.78, 187.43, 163.65, 178.83, 186.23, 45.34999999999991, 1057.76, 1066.69, 1043.69, 1089.04, 2.02, 60.94, 131.99, 1070.3, 21.49, 24.0, 0.0, 3704.0, NaN, 180.1, 88.0, NaN, 0.0, -0.0, 0.0075531767991306, 3.2, -0.03, 10.0, 2.24, 0.36, 0.14933333333333335, 0.0, 45.489999999999995, 266.8, 2061.921305236726, NaN, NaN, 28.0, 28.0, NaN, -0.65, 0.0, 0.0, NaN, NaN
2.0, 844.3, 753.6, 841.4, 1.6999999999999318, 5.3, 0.4, 2.24, 30.29, 20.667, 132.3, 123.3, 4.917434584496081, 176.9, 1.0302526407286332, 23.94999999999999, 188.17, 164.22, 179.45, 186.88, 48.42000000000007, 1054.51, 1067.75, 1039.12, 1087.54, 2.03, 61.0, 131.91, 1072.6, 21.49, 24.0, 0.0, 3704.0, NaN, 180.1, 88.0, NaN, 0.0, -0.01, 0.007343368979514148, 3.2, -0.01, 10.0, 2.24, 0.35, 0.14933333333333335, 0.0, 45.489999999999995, 266.8, 2061.921305236726, NaN, NaN, 28.0, 28.0, NaN, -11.07, 0.0, 0.0, NaN, NaN
