#AfcsOn, AltAGL, AltB, AltGPS, AltMSL, AltMSL Lag Diff, amp1, AOASimple, BaroA, COM1, COM2, CRS, DensityRatio, E1 CHT1, E1 EGT Divergence, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 FFlow, E1 MAP, E1 OilP, E1 OilT, E1 RPM, E2 CHT1, E2 EGT Divergence, E2 EGT1, E2 EGT2, E2 EGT3, E2 EGT4, E2 FFlow, E2 MAP, E2 OilP, E2 OilT, E2 RPM, FQtyL, FQtyR, GndSpd, HAL, HCDI, HDG, HPLfd, HPLwas, IAS, LatAc, MagVar, NormAc, OAT, PichC, Pitch, Roll, RollC, Stall Index, TAS, Total Fuel, TRK, True Airspeed(ft/min), VAL, VCDI, volt1, VPLwas, VSpd, VSpd Calculated, VSpdG, WndDr, WndSpd, number_events = 0
AfcsOn, AltAGL, AltB, AltGPS, AltMSL, AltMSL Lag Diff, amp1, AOASimple, BaroA, COM1, COM2, CRS, DensityRatio, E1 CHT1, E1 EGT Divergence, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 FFlow, E1 MAP, E1 OilP, E1 OilT, E1 RPM, E2 CHT1, E2 EGT Divergence, E2 EGT1, E2 EGT2, E2 EGT3, E2 EGT4, E2 FFlow, E2 MAP, E2 OilP, E2 OilT, E2 RPM, FQtyL, FQtyR, GndSpd, HAL, HCDI, HDG, HPLfd, HPLwas, IAS, LatAc, MagVar, NormAc, OAT, PichC, Pitch, Roll, RollC, Stall Index, TAS, Total Fuel, TRK, True Airspeed(ft/min), VAL, VCDI, volt1, VPLwas, VSpd, VSpd Calculated, VSpdG, WndDr, WndSpd
0.0, 7.0, 818.2, 752.6, 840.4, -0.20000000000004547, 5.0, NaN, 29.65, 118.4, 124.575, 354.0, 0.9892584732017904, 234.05, 154.53999999999996, 904.04, 909.26, 1058.58, 909.39, 1.49, 12.22, 49.82, 136.62, 987.7, 188.12, 23.659999999999968, 928.4, 930.01, 952.06, 935.75, 1.73, 12.5, 50.93, 132.24, 1038.8, 48.46, 51.7, 0.0, 3704.0, NaN, 178.0, 98.5, NaN, 0.0, -0.01, 3.2, 0.0, 15.5, NaN, 1.35, 0.33, NaN, NaN, 0.0, 100.16, 266.7, 0.0, NaN, NaN, 28.8, NaN, -0.52, 0.0, 0.0, NaN, NaN
0.0, 7.0, 817.2, 752.6, 840.4, -0.3000000000000682, 5.0, NaN, 29.65, 118.4, 124.575, 354.0, 0.9892584732017904, 234.54, 162.74, 904.05, 910.33, 1066.79, 909.58, 1.51, 12.26, 49.76, 136.6, 989.4, 188.76, 28.019999999999982, 925.29, 930.61, 953.31, 937.86, 1.74, 12.54, 50.93, 132.2, 1038.1, 48.34, 51.57, 0.0, 3704.0, NaN, 178.0, 98.5, NaN, 0.0, -0.01, 3.2, -0.0, 15.5, NaN, 1.35, 0.33, NaN, NaN, 0.0, 99.91, 266.7, 0.0, NaN, NaN, 28.8, NaN, -5.97, -30.0, 0.0, NaN, NaN
0.0, 8.0, 817.2, 753.4, 841.2, 0.7000000000000455, 5.0, NaN, 29.65, 118.4, 124.575, 354.0, 0.9892584732017904, 235.05, 164.25, 902.96, 910.1, 1067.21, 907.4, 1.52, 12.26, 49.82, 136.55, 993.2, 189.39, 27.93999999999994, 925.74, 930.06, 953.68, 938.98, 1.76, 12.51, 50.98, 132.12, 1041.3, 48.28, 51.47, 0.0, 3704.0, NaN, 178.0, 98.5, NaN, 0.0, -0.01, 3.2, 0.01, 15.5, NaN, 1.36, 0.32, NaN, NaN, 0.0, 99.75, 266.7, 0.0, NaN, NaN, 28.8, NaN, -14.06, 30.0, 0.0, NaN, NaN
0.0, 8.0, 818.2, 753.5, 841.3, 0.6999999999999318, 4.9, NaN, 29.65, 118.4, 124.575, 354.0, 0.9892584732017904, 235.53, 163.45000000000016, 901.68, 908.13, 1065.13, 908.14, 1.5, 12.24, 49.77, 136.48, 982.3, 190.11, 28.07000000000005, 927.42, 930.49, 955.49, 939.89, 1.76, 12.51, 50.98, 132.07, 1038.2, 48.39, 51.49, 0.0, 3704.0, NaN, 177.9, 98.5, NaN, 0.0, -0.02, 3.2, 0.01, 15.5, NaN, 1.36, 0.32, NaN, NaN, 0.0, 99.88, 266.7, 0.0, NaN, NaN, 28.8, NaN, -0.96, 30.0, 0.0, NaN, NaN
0.0, 8.0, 818.2, 753.4, 841.2, 0.40000000000009095, 4.9, NaN, 29.65, 118.4, 124.575, 354.0, 0.9892584732017904, 236.09, 168.18999999999994, 902.18, 908.39, 1070.37, 906.47, 1.52, 12.28, 49.69, 136.42, 981.9, 190.7, 31.199999999999932, 927.36, 929.83, 958.56, 940.9, 1.76, 12.55, 50.93, 132.03, 1036.6, 48.55, 51.38, 0.0, 3704.0, NaN, 178.0, 98.5, NaN, 0.0, 0.0, 3.2, 0.0, 15.5, NaN, 1.37, 0.31, NaN, NaN, 0.0, 99.93, 266.7, 0.0, NaN, NaN, 28.8, NaN, 1.41, 0.0, 3.9, NaN, NaN
0.0, 8.0, 818.2, 753.4, 841.2, 0.20000000000004547, 4.7, NaN, 29.65, 118.4, 124.575, 354.0, 0.9892584732017904, 236.58, 174.79999999999995, 902.19, 910.06, 1076.99, 906.02, 1.52, 12.33, 49.65, 136.4, 984.3, 191.34, 30.539999999999964, 927.34, 933.98, 957.88, 941.0, 1.77, 12.54, 50.97, 131.97, 1039.4, 48.63, 51.37, 0.0, 3704.0, NaN, 178.0, 98.0, NaN, 0.0, -0.01, 3.2, 0.01, 15.5, NaN, 1.36, 0.29, NaN, NaN, 0.0, 100.0, 266.7, 0.0, NaN, NaN, 28.8, NaN, -3.6, 0.0, 3.9, NaN, NaN
0.0, 8.0, 818.2, 753.3, 841.1, 0.7000000000000455, 4.7, NaN, 29.65, 118.4, 124.575, 354.0, 0.9892584732017904, 237.07, 176.14, 900.67, 911.73, 1076.81, 906.76, 1.51, 12.26, 49.81, 136.32, 990.6, 191.98, 29.06000000000006, 928.04, 936.29, 957.1, 942.03, 1.8, 12.51, 51.0, 131.89, 1040.8, 48.47, 51.35, 0.0, 3704.0, NaN, 177.9, 98.0, NaN, 0.0, -0.0, 3.2, 0.01, 15.5, NaN, 1.36, 0.3, NaN, NaN, 0.0, 99.82, 266.7, 0.0, NaN, NaN, 28.8, NaN, -15.36, 0.0, 0.0, NaN, NaN
0.0, 7.0, 818.2, 753.2, 841.0, 0.7000000000000455, 4.8, NaN, 29.65, 118.4, 124.575, 354.0, 0.9892584732017904, 237.58, 180.21000000000004, 901.03, 912.62, 1081.24, 905.88, 1.55, 12.3, 49.69, 136.32, 986.4, 192.66, 25.93999999999994, 931.47, 938.22, 957.41, 941.84, 1.82, 12.55, 50.98, 131.85, 1037.9, 48.46, 51.24, 0.0, 3704.0, NaN, 178.0, 98.0, NaN, 0.0, -0.01, 3.2, 0.0, 15.5, NaN, 1.37, 0.27, NaN, NaN, 0.0, 99.7, 266.7, 0.0, NaN, NaN, 28.8, NaN, -15.15, 0.0, 0.0, NaN, NaN
0.0, 6.0, 818.2, 752.2, 839.9, -0.7000000000000455, 4.8, NaN, 29.65, 118.4, 124.575, 354.0, 0.9892584732017904, 238.06, 182.8599999999999, 902.21, 911.85, 1085.07, 905.68, 1.56, 12.31, 49.69, 136.26, 983.1, 193.32, 26.739999999999895, 934.82, 938.4, 961.56, 943.96, 1.85, 12.54, 50.99, 131.8, 1040.6, 48.58, 51.38, 0.0, 3704.0, NaN, 177.9, 98.0, NaN, 0.0, -0.0, 3.2, 0.01, 15.5, NaN, 1.37, 0.3, NaN, NaN, 0.0, 99.96000000000001, 266.7, 0.0, NaN, NaN, 28.8, NaN, -9.06, 0.0, 0.0, NaN, NaN
0.0, 6.0, 818.2, 752.1, 839.9, -0.5, 4.7, NaN, 29.65, 118.4, 124.575, 354.0, 0.9892584732017904, 238.57, 183.01, 903.27, 910.8, 1086.28, 907.7, 1.57, 12.33, 49.66, 136.21, 980.8, 193.99, 30.899999999999977, 934.87, 937.81, 965.77, 942.6, 1.87, 12.46, 51.22, 131.75, 1052.6, 48.71, 51.29, 0.0, 3704.0, NaN, 177.9, 98.0, NaN, 0.0, -0.0, 3.2, 0.0, 15.5, NaN, 1.36, 0.3, NaN, NaN, 0.0, 100.0, 266.7, 0.0, NaN, NaN, 28.8, NaN, -1.44, 0.0, 3.9, NaN, NaN
