#AltAGL, AltB, AltGPS, AltMSL, AltMSL Lag Diff, amp1, AOASimple, BaroA, COM1, COM2, CRS, DensityRatio, E1 EGT Divergence, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 FFlow, E1 OilP, E1 OilT, E1 RPM, FQtyL, FQtyR, GndSpd, HAL, HCDI, HDG, HPLfd, HPLwas, IAS, LatAc, MagVar, NormAc, OAT, Pitch, Roll, Stall Index, TAS, Total Fuel, TRK, True Airspeed(ft/min), volt1, VPLwas, VSpd, VSpd Calculated, VSpdG, WndDr, WndSpd, number_events = 0
AltAGL, AltB, AltGPS, AltMSL, AltMSL Lag Diff, amp1, AOASimple, BaroA, COM1, COM2, CRS, DensityRatio, E1 EGT Divergence, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 FFlow, E1 OilP, E1 OilT, E1 RPM, FQtyL, FQtyR, GndSpd, HAL, HCDI, HDG, HPLfd, HPLwas, IAS, LatAc, MagVar, NormAc, OAT, Pitch, Roll, Stall Index, TAS, Total Fuel, TRK, True Airspeed(ft/min), volt1, VPLwas, VSpd, VSpd Calculated, VSpdG, WndDr, WndSpd
0.0, 857.2, 731.9, 819.7, -7.599999999999909, 6.9, NaN, 30.02, 120.55, 123.3, 27.0, 0.9964226442928267, 83.28999999999996, 1097.09, 1071.43, 1154.72, 1120.58, 2.73, 64.33, 141.32, 1174.3, 18.59, 24.0, 0.0, 3704.0, NaN, 175.6, 105.5, NaN, 0.0, 0.02, 3.2, 0.03, 17.0, 2.21, -0.9, NaN, 0.0, 42.59, 265.0, 0.0, 28.1, NaN, -15.22, 0.0, 0.0, NaN, NaN
0.0, 857.2, 732.2, 820.0, -7.100000000000023, 6.9, NaN, 30.02, 120.55, 123.3, 27.0, 0.9964226442928267, 74.71000000000004, 1101.47, 1090.34, 1165.05, 1124.93, 2.68, 64.48, 141.31, 1188.6, 18.55, 24.0, 0.0, 3704.0, NaN, 175.7, 105.5, NaN, 0.0, 0.01, 3.2, 0.03, 17.0, 2.18, -0.91, NaN, 0.0, 42.55, 265.0, 0.0, 28.1, NaN, -15.36, 0.0, 0.0, NaN, NaN
0.0, 857.2, 733.4, 821.2, -5.7999999999999545, 6.9, NaN, 30.02, 120.55, 123.3, 27.0, 0.9964226442928267, 58.65000000000009, 1103.84, 1108.21, 1162.49, 1133.6, 2.66, 64.4, 141.26, 1168.6, 18.52, 24.0, 0.0, 3704.0, NaN, 175.7, 105.0, NaN, 0.0, 0.02, 3.2, -0.04, 17.0, 2.16, -0.9, NaN, 0.0, 42.519999999999996, 265.0, 0.0, 28.1, NaN, -13.71, 0.0, 0.0, NaN, NaN
0.0, 857.2, 733.5, 821.3, -5.100000000000023, 6.8, NaN, 30.02, 120.55, 123.3, 27.0, 0.9964226442928267, 58.74000000000001, 1113.28, 1111.14, 1169.88, 1135.06, 2.69, 64.59, 141.05, 1186.3, 18.51, 24.0, 0.0, 3704.0, NaN, 175.7, 105.0, NaN, 0.0, -0.0, 3.2, -0.02, 17.0, 2.18, -0.91, NaN, 0.0, 42.510000000000005, 265.0, 0.0, 28.1, NaN, -15.91, 0.0, 0.0, NaN, NaN
0.0, 857.2, 733.3, 821.1, -5.199999999999932, 6.7, NaN, 30.02, 120.55, 123.3, 27.0, 0.9964226442928267, 56.36000000000013, 1116.17, 1108.54, 1164.9, 1146.36, 2.68, 64.29, 141.04, 1143.3, 18.55, 24.0, 0.0, 3704.0, NaN, 175.7, 98.0, NaN, 0.0, 0.01, 3.2, -0.01, 17.0, 2.15, -0.91, NaN, 0.0, 42.55, 265.0, 0.0, 28.1, NaN, -16.0, 0.0, 0.0, NaN, NaN
0.0, 857.2, 733.4, 821.2, -4.699999999999932, 6.8, NaN, 30.02, 120.55, 123.3, 27.0, 0.9964226442928267, 58.440000000000055, 1101.16, 1093.46, 1145.34, 1151.9, 2.68, 64.46, 140.93, 1182.0, 18.55, 24.0, 0.0, 3704.0, NaN, 175.7, 98.0, NaN, 0.0, 0.03, 3.2, -0.01, 17.0, 2.13, -0.92, NaN, 0.0, 42.55, 265.0, 0.0, 28.1, NaN, -16.0, 0.0, 0.0, NaN, NaN
0.0, 857.2, 733.8, 821.6, 0.7000000000000455, 6.8, NaN, 30.02, 120.55, 123.3, 27.0, 0.9964226442928267, 52.76999999999998, 1097.67, 1104.37, 1138.11, 1150.44, 2.7, 64.57, 140.83, 1185.0, 18.54, 24.0, 0.0, 3704.0, NaN, 175.7, 98.0, NaN, 0.0, 0.0, 3.2, -0.02, 17.0, 2.14, -0.93, NaN, 0.0, 42.54, 265.0, 0.0, 28.1, NaN, -15.87, 0.0, 0.0, NaN, NaN
0.0, 857.2, 733.3, 821.1, 0.39999999999997726, 6.8, NaN, 30.02, 120.55, 123.3, 27.0, 0.9964226442928267, 43.13999999999987, 1099.45, 1105.92, 1139.09, 1142.59, 2.71, 64.6, 140.82, 1182.0, 18.52, 24.0, 0.0, 3704.0, NaN, 175.7, 98.0, NaN, 0.0, 0.03, 3.2, 0.02, 17.0, 2.16, -0.93, NaN, 0.0, 42.519999999999996, 265.0, 0.0, 28.1, NaN, -1.77, 0.0, 0.0, NaN, NaN
0.0, 857.2, 733.2, 821.0, 0.7000000000000455, 6.7, NaN, 30.02, 120.55, 123.3, 27.0, 0.9964226442928267, 65.88000000000011, 1108.39, 1099.58, 1165.46, 1136.97, 2.72, 64.52, 140.72, 1181.4, 18.52, 24.0, 0.0, 3704.0, NaN, 175.7, 98.0, NaN, 0.0, 0.01, 3.2, 0.0, 17.0, 2.15, -0.94, NaN, 0.0, 42.519999999999996, 265.0, 0.0, 28.1, NaN, -1.5, 0.0, 0.0, NaN, NaN
0.0, 857.2, 733.2, 821.0, 0.6000000000000227, 6.6, NaN, 30.02, 120.55, 123.3, 27.0, 0.9964226442928267, 69.20000000000005, 1109.56, 1094.3, 1163.5, 1150.18, 2.75, 64.74, 140.54, 1183.6, 18.51, 24.0, 0.0, 3704.0, NaN, 175.8, 98.0, NaN, 0.0, 0.02, 3.2, -0.0, 17.0, 2.14, -0.96, NaN, 0.0, 42.510000000000005, 265.0, 0.0, 28.1, NaN, -15.03, 0.0, 0.0, NaN, NaN
